地區,村莊,名稱,貢獻,用途,用途等級,格數,CP值
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號3號室,1,倉庫,2,5,5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-2號,巴特利農場",1,倉庫,2,5,5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-2號,戴爾魯茲農場",1,倉庫,2,5,5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-2號,洛基亞農場",1,倉庫,2,5,5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-4號,1,倉庫,2,5,5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-2號,1,倉庫,2,5,5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-1號,1,倉庫,2,5,5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號2樓,1,倉庫,2,5,5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-3號,1,倉庫,2,5,5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-2號,托斯卡尼農場",3,倉庫,4,12,4
巴雷諾斯自治領,伊利亞島,伊利亞島2-2號,2,倉庫,3,8,4
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號1樓,2,倉庫,3,8,4
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號2樓,2,倉庫,3,8,4
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-3號,2,倉庫,3,8,4
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-4號,2,倉庫,3,8,4
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-1號,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-1號,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-1號,1,殘月家具工坊,3,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-1號,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號1號室,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號2號室,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-1號,品特農場",1,倉庫,1,3,3
巴雷諾斯自治領,伊利亞島,雷瑪島1號,1,倉庫,1,3,3
巴雷諾斯自治領,伊利亞島,伊利亞島1-1號,1,倉庫,1,3,3
巴雷諾斯自治領,伊利亞島,伊利亞島1-1號,1,殘月家具工坊,3,,0
巴雷諾斯自治領,伊利亞島,伊利亞島1-2號,1,倉庫,1,3,3
巴雷諾斯自治領,伊利亞島,伊利亞島4-2號,1,倉庫,1,3,3
巴雷諾斯自治領,伊利亞島,伊利亞島6-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-2號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-2號,1,倉庫,1,3,3
